import_id,import_status,import_title,import_categories,import_price,match_type,old_id,old_title,old_categories,old_price
92878,publish,Skin1004 Madagascar Centella Ampoule Foam 20ml (Mini),"Face Cleansers, Face Cleansers",500,core_no_size_spf,57928,Skin1004 Madagascar Centella Ampoule Foam 125ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",1300.0
92880,publish,Cosrx Low pH Good Morning Gel Cleanser 50ml (Mini),"Face Cleansers, Face Cleansers, Face Cleansers",550,core_no_size_spf,2595,COSRX Low pH Good Morning Gel Cleanser 150ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Face Cleansers, Face Cleansers, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Skincare Essentials, Skincare Essentials",1100
92880,publish,Cosrx Low pH Good Morning Gel Cleanser 50ml (Mini),"Face Cleansers, Face Cleansers, Face Cleansers",550,core_no_size_spf,58195,COSRX Low pH Good Morning Gel Cleanser 50ml,"Face Cleansers, Face Cleansers, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Skincare Essentials, Skincare Essentials",650
92884,publish,Skin1004 Madagascar Centella Ampoule 30ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",800,core_no_size_spf,55804,SKIN1004 Madagascar Centella Ampoule 100ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",2100.0
92884,publish,Skin1004 Madagascar Centella Ampoule 30ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",800,core_no_size_spf,57545,SKIN1004 Madagascar Centella Ampoule 55ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",1700.0
92884,publish,Skin1004 Madagascar Centella Ampoule 30ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",800,core_no_size_spf,57938,SKIN1004 Madagascar Centella Ampoule 20ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",599.0
92888,publish,SOME BY MI AHA BHA PHA 30 Days Miracle Cream 60g,"Cream/Moisturizer, Cream/Moisturizer, Cream/Moisturizer",1700,core_no_size_spf,38187,Some By Mi AHA.BHA.PHA 30 Days Miracle Cream,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty",1450
92912,publish,Mary&May Idebenone + Blackberry Complex Serum 80ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",2100,core_no_size_spf,58033,Mary&May Idebenone + Blackberry Complex Serum 30ml,"K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials",1500
92932,publish,ANUA Heartleaf Quercetinol Pore Deep Cleansing Foam 25ml mini,"Face Cleansers, Face Cleansers",500,core_no_size_spf,74052,Anua Heartleaf Quercetinol Pore Deep Cleansing Foam 150ml,"Face Cleansers, Face Cleansers, Face Cleansers, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Pores &amp; Oil Control, Pores &amp; Oil Control, Pores &amp; Oil Control, SHOP BY CONCERN, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials, Skincare Essentials",900
92934,publish,Purito Wonder Releaf Centella Serum Unscented 15ml mini,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",550,core_no_size_spf,58706,Purito Wonder Releaf Centella Serum Unscented 60ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials",1800
