reason,product_id,brand,product_title,size,sku,price,slug,url
missing_size,75513,"Trendy Beautis","Trendy Beauties Liquid Matte Waterproof Lipstick 10",,TREN-BELIMA-75513,250.0,trendy-beauties-liquid-matte-waterproof-lipstick-10-2,https://e-mart.com.bd/product/trendy-beauties-liquid-matte-waterproof-lipstick-10-2/
missing_size,75569,W7,"W7 Candy Blush Angel Dust",,W7-CABLAN-75569,450.0,w7-candy-blush-angel-dust,https://e-mart.com.bd/product/w7-candy-blush-angel-dust/
missing_size,75571,W7,"W7 Candy Blush Gossip",,W7-CABLGO-75571,450.0,w7-candy-blush-gossip,https://e-mart.com.bd/product/w7-candy-blush-gossip/
missing_size,75575,W7,"W7 Candy Blush Galactic",,5060294397588,450.0,w7-candy-blush-galactic,https://e-mart.com.bd/product/w7-candy-blush-galactic/
missing_size,75579,"Wet n Wild","Wet n Wild Foundation Matte E368C (Golden Beige)",,4049775536839,1250,wet-n-wild-foundation-matte-e368c-golden-beige,https://e-mart.com.bd/product/wet-n-wild-foundation-matte-e368c-golden-beige/
missing_size,75581,"Wet n Wild","Wet n Wild Megalast Liquid Matte Lipstick 926B (Berry Recognize)",,077802592620,650.0,wet-n-wild-megalast-liquid-matte-lipstick-926b-berry-recognize,https://e-mart.com.bd/product/wet-n-wild-megalast-liquid-matte-lipstick-926b-berry-recognize/
missing_size,75605,Wishcare,"WishCare Ceramide Lip Balm Natural with SPF 50 PA+++",,8906127101045,520.0,wishcare-ceramide-lip-balm-natural-with-spf-50-pa,https://e-mart.com.bd/product/wishcare-ceramide-lip-balm-natural-with-spf-50-pa/
missing_size,75607,Wishcare,"WishCare Niacinamide Oil Balance Fluid Sunscreen Spf 50+ Pa+++",,8906127101106,990.0,wishcare-niacinamide-oil-balance-fluid-sunscreen-spf-50-pa,https://e-mart.com.bd/product/wishcare-niacinamide-oil-balance-fluid-sunscreen-spf-50-pa/
missing_size,75619,Yanagiya,"YANAGIYA Hair Tonic (Menthol Rich)",,YANA-HATOME-75619,3050.0,yanagiya-hair-tonic-menthol-rich,https://e-mart.com.bd/product/yanagiya-hair-tonic-menthol-rich/
missing_size,92892,"Some By Mi","Some By Mi AHA.BHA.PHA 30 Days Miracle Starter Kit",,,1700,some-by-mi-aha-bha-pha-30-days-miracle-starter-kit,https://e-mart.com.bd/product/some-by-mi-aha-bha-pha-30-days-miracle-starter-kit/
